10
317861250144669356002536617271580901673
10
0	1	1
1	2	1
3	4	1
2	3	1
2	9	1
4	5	1
6	7	1
0	8	1
1	9	1
7	8	1
21
2	10	190532913495013230645932619725572639436
3	9	26938189779268705685356385331910234866
3	1	203425560492866585865146412060992586197
4	8	311039491118663769432609262906896997730
4	2	276778405655077033699448794441271705106
5	7	70583472755460125519803218046518186337
5	2	241711738599064297041559683771563616655
5	1	316306724293215174837434095580393559904
6	5	80217421863689884443981146804774334457
6	2	225565637812331437682526682259015957484
6	2	324907564450557633089238116115065655668
7	3	191950547030207950079006497391374364829
7	1	51315769682535567660222028088679040952
7	2	30787657321879387038212834389309182604
7	1	261209874787477264835173180974920490939
8	2	118241783441502382604675433784641898292
8	1	300080219479032712825121373070810848480
8	2	142455892233233172248981225651298136121
9	1	49378176739075972472888665021245488515
9	1	124019731310866238450092520432162108667
9	1	308447129427176755902129857727051836807
339694729172901109834388389859057594965
12
0	1	1
0	7	1
1	2	1
3	4	1
1	8	1
2	3	1
2	9	1
4	5	1
6	7	1
0	8	1
1	9	1
7	8	1
38
2	12	190532913495013230645932619725572639436
3	12	26938189779268705685356385331910234866
3	3	203425560492866585865146412060992586197
4	6	276778405655077033699448794441271705106
4	11	311039491118663769432609262906896997730
4	1	28407338740603262767927920621522775333
5	3	122413426707749398535057609462486820033
5	4	241711738599064297041559683771563616655
5	1	59471967516362300881130304760998501908
5	10	70583472755460125519803218046518186337
5	2	316306724293215174837434095580393559904
6	2	189404732720407963507943048907045141107
6	1	283983824589950802096849761265566535140
6	1	275523074058594287921386266849762036814
6	4	225565637812331437682526682259015957484
6	1	83645412693936740495027656141809699603
6	6	80217421863689884443981146804774334457
6	4	324907564450557633089238116115065655668
7	1	226751872400074327090950252074613589024
7	1	321728435507930943012062418721556004863
7	1	164428511895220786334798125708301902102
7	1	247303028134846629633510859050932969448
7	1	51315769682535567660222028088679040952
7	1	226510543670067505639001888747087704773
7	4	191950547030207950079006497391374364829
7	4	30787657321879387038212834389309182604
7	2	261209874787477264835173180974920490939
8	1	330768376009963527959944705304135812720
8	1	330092837744184495427568143829512358894
8	1	168622060018654885760816067384961336668
8	1	329942966871134713338784352237613925116
8	1	184318677918215876156793739577265034666
8	2	118241783441502382604675433784641898292
8	4	142455892233233172248981225651298136121
9	1	135385417189417545299113581752145874623
9	1	96068320717667391922965196190115671532
9	1	118902660162608299124211891399128669892
9	2	308447129427176755902129857727051836807
26759753274694478573099071394718629875
11
0	1	1
0	7	1
1	2	1
3	4	1
1	8	1
2	3	1
2	9	1
4	5	1
6	7	1
1	9	1
2	8	1
29
2	11	190532913495013230645932619725572639436
3	12	26938189779268705685356385331910234866
3	2	203425560492866585865146412060992586197
4	9	311039491118663769432609262906896997730
4	4	276778405655077033699448794441271705106
4	2	208263414599110180129227299161406071649
4	1	28407338740603262767927920621522775333
5	8	70583472755460125519803218046518186337
5	4	241711738599064297041559683771563616655
5	2	334332082064646257233641390150216621276
5	2	316306724293215174837434095580393559904
5	2	186299392878969677677838981007666456434
6	3	80217421863689884443981146804774334457
6	4	225565637812331437682526682259015957484
6	2	106803324821260688311837247872831621272
6	4	324907564450557633089238116115065655668
6	2	168941553363596711099279317792349140796
6	1	2962792275725677285862209290632899070
7	4	30787657321879387038212834389309182604
7	2	191950547030207950079006497391374364829
7	2	130098300966068786327953638164366221900
7	2	261209874787477264835173180974920490939
7	2	158345235505098944009232473165095445150
8	4	142455892233233172248981225651298136121
8	2	110292424237238058426066680039918816862
8	1	118241783441502382604675433784641898292
8	1	31425652962974690861937032862799568726
9	2	308447129427176755902129857727051836807
9	2	24412234642687159581129293673953894042
221092325046631031727641007372932652254
11
0	1	1
0	7	1
3	8	1
1	2	1
3	4	1
2	3	1
2	9	1
4	5	1
6	7	1
1	9	1
2	8	1
28
2	11	190532913495013230645932619725572639436
3	11	26938189779268705685356385331910234866
3	2	203425560492866585865146412060992586197
4	9	311039491118663769432609262906896997730
4	6	276778405655077033699448794441271705106
5	7	70583472755460125519803218046518186337
5	4	241711738599064297041559683771563616655
5	4	316306724293215174837434095580393559904
5	1	59471967516362300881130304760998501908
6	4	80217421863689884443981146804774334457
6	3	225565637812331437682526682259015957484
6	6	324907564450557633089238116115065655668
6	2	83645412693936740495027656141809699603
7	2	191950547030207950079006497391374364829
7	1	51315769682535567660222028088679040952
7	4	30787657321879387038212834389309182604
7	2	261209874787477264835173180974920490939
7	2	226510543670067505639001888747087704773
7	1	257258525241023338355604716694715156663
8	1	118241783441502382604675433784641898292
8	1	300080219479032712825121373070810848480
8	3	142455892233233172248981225651298136121
8	1	184318677918215876156793739577265034666
8	2	309970706819771047236946907746003172835
9	1	124019731310866238450092520432162108667
9	1	308447129427176755902129857727051836807
9	1	185914628773508533857387516389023422573
9	1	132085118513643691055400883236599744637
260222992540164131546540530832645711279
11
0	1	1
0	7	1
3	8	1
1	2	1
3	4	1
2	3	1
2	9	1
4	5	1
6	7	1
4	8	1
1	9	1
27
2	11	190532913495013230645932619725572639436
3	10	26938189779268705685356385331910234866
3	2	203425560492866585865146412060992586197
4	9	311039491118663769432609262906896997730
4	4	276778405655077033699448794441271705106
5	7	70583472755460125519803218046518186337
5	5	241711738599064297041559683771563616655
5	2	316306724293215174837434095580393559904
